CleanedTweets,Tweets,Time,TimeNew,TimeChanged,PolarityScore
uded stop worshiping politicians back worshiping god ufe ude udd udc politics trumpvsbiden bidenharris,"\"\\ud83d\\uded1Stop worshiping politicians and go back to worshiping God.\\n\\n\\u271d\\ufe0f\\ud83d\\ude4f\\ud83d\\udd4a\\ud83d\\udc9d\\n\\n#Politics #TrumpvsBiden #BidenHarris\\u2026 https://t.co/wmCBWoqzZL\"","\"2020-11-19 14:44:53.822669\"",2020-11-19T15:42:23.248+05:30,"",Positive
takes understanding outstanding klever trumpvsbiden,"\"It takes understanding to be outstanding #Klever #TrumpvsBiden\"","\"2020-11-19 14:44:56.825971\"",2020-11-19T15:42:23.248+05:30,"",Positive
washington post elections called biden iran oil exports uranium stockpile surge,"\"Washington Post: As elections were called for #Biden, #Iran's oil exports and #uranium stockpile surge.\\u2026 https://t.co/1Tg5g2I1WP\"","\"2020-11-19 14:44:59.829813\"",2020-11-19T15:42:23.248+05:30,"",Positive
announcements came election results maybe election wasn stolen shows influence,"\"But all those announcements came after election results. Maybe election wasn\\u2019t stolen but shows the influence of Bi\\u2026 https://t.co/SapoFv2xV8\"","\"2020-11-19 14:45:02.831120\"",2020-11-19T15:42:23.248+05:30,"",Negative
ephesians chapter cdo full armor dance weirdchristiantwitter trumpvsbiden encouragement unitedstates,"\"Ephesians Chapter 6 \\u201cDo Your Full Armor Dance\\u201d #WeirdChristianTwitter #TrumpvsBiden #ENCOURAGEMENT #UnitedStates https://t.co/ADHBrAE2wS\"","\"2020-11-19 14:45:05.834683\"",2020-11-19T15:42:23.248+05:30,"",Positive
president public servant trumpvsbiden obamawasbetterateverything peace,"\"A President is a Public Servant.  #TrumpvsBiden #ObamaWasBetterAtEverything #peace https://t.co/GV3uZwXwS9\"","\"2020-11-19 14:45:08.838827\"",2020-11-19T15:42:23.248+05:30,"",Positive
antifa scum sucker puncher arrested electionday antifaterrorists blmantifaterroriststhugs trumpvsbiden,"\"ANTIFA SCUM SUCKER PUNCHER ARRESTED! \\n#ElectionDay2020\\n#AntifaTerrorists\\n#BLMAntifaTerroristsThugs\\n#TrumpvsBiden\\n\\nhttps://t.co/Ck8JgJIxzJ\"","\"2020-11-19 14:45:11.842688\"",2020-11-19T15:42:23.248+05:30,"",Negative
biden refused answer question multiple time absolutely pack courts electionday,"\"Biden has refused to answer this question multiple time they will ABSOLUTELY PACK THE COURTS!\\n\\n#ElectionDay2020\\u2026 https://t.co/P0LjugWX9e\"","\"2020-11-19 14:45:14.846562\"",2020-11-19T15:42:23.248+05:30,"",Negative
sorta sad see last yrs reality show entertainment get cancelled yourefiredtrump nwondering,"\"It WILL sorta be sad to see the last 4yrs of reality show entertainment get cancelled... #YoureFiredTrump\\nWondering\\u2026 https://t.co/B1qZ0k52eA\"","\"2020-11-19 14:45:17.850513\"",2020-11-19T15:42:23.248+05:30,"",Negative
trump falsely claims won election twitter flags tweet via trumpvsbiden trump biden,"\"Trump falsely claims he won the election; Twitter flags the tweet https://t.co/k5HvKDzAg9 via @Politics360 #TrumpvsBiden #Trump #Biden\"","\"2020-11-19 14:45:20.854593\"",2020-11-19T15:42:23.248+05:30,"",Positive
una typical reaction norteamerican calient eeuu trumpvsbiden,"\"This is una typical reaction of the norteamerican calient. \\n#EEUU #TrumpvsBiden https://t.co/l6Ue1citWd https://t.co/4LwomhXslM\"","\"2020-11-19 14:45:23.856900\"",2020-11-19T15:42:23.248+05:30,"",Positive
trump trumpvsbiden nwhy votes trump found dumpsters riggedelection,"\"https://t.co/YcoazFXbQu\\n#votefruad #Trump #TrumpvsBiden \\nWhy is it only votes for Trump that is found in dumpsters?\\n#RiggedElection\"","\"2020-11-19 14:45:26.858688\"",2020-11-19T15:42:23.248+05:30,"",Negative
nbut want feel power god strength moments feel doubt ncontinue fighting,"\"3\\nBut we want you to feel OUR power with God's strength in those moments you feel doubt.\\nContinue fighting for us,\\u2026 https://t.co/zO567geSlz\"","\"2020-11-19 14:45:29.862162\"",2020-11-19T15:42:23.248+05:30,"",Positive
cnn mistakenly exposes real state map election quickly removes biden trump,"\"@DiarioLibre #CNN mistakenly exposes the real state map of the election and quickly removes it #Biden 226 / #TRUMP\\u2026 https://t.co/925lgFXSwc\"","\"2020-11-19 14:45:34.130982\"",2020-11-19T15:42:23.248+05:30,"",Negative
director azerbaijan institute democracy amp human rights bak azerbaijan amp,"\"At @ntrtvtr @shahidovcom Director, Azerbaijan Institute for Democracy &amp; Human Rights from Bak\\u00fc, Azerbaijan &amp;\\u2026 https://t.co/0YQJHpJzr2\"","\"2020-11-19 14:45:37.134621\"",2020-11-19T15:42:23.248+05:30,"",Positive
election official trump misinformation dangerous lacks credibility usaelection trumpvsbiden,"\"US election official: Trump\\u2019s misinformation is dangerous and lacks any credibility\\n\\nhttps://t.co/wmGmcNYS2C #USAelection2020 #TrumpvsBiden\"","\"2020-11-19 14:45:40.138277\"",2020-11-19T15:42:23.248+05:30,"",Negative
won trumpvsbiden trump,"\"i won this\\n#TrumpvsBiden #Trump2020 #\\u062a\\u0631\\u0627\\u0645\\u0628 https://t.co/267TAHbcsx\"","\"2020-11-19 14:45:43.142112\"",2020-11-19T15:42:23.248+05:30,"",Positive
decoding trump won election claim time ngoes prove won peacefu,"\"@manofrealman Decoding Trump's 'I won the election' claim time and again\\n\\nGoes on to prove there won't be a peacefu\\u2026 https://t.co/4gaRccEDar\"","\"2020-11-19 14:45:46.144838\"",2020-11-19T15:42:23.248+05:30,"",Positive
decoding trump won election claim time ngoes prove won peac,"\"@BobDobb15029165 Decoding Trump's 'I won the election' claim time and again\\n\\nGoes on to prove there won't be a peac\\u2026 https://t.co/mNmBGyq5HY\"","\"2020-11-19 14:45:49.146634\"",2020-11-19T15:42:23.248+05:30,"",Positive
decoding trump won election claim time ngoes prove won peac,"\"@cyclinglecturer Decoding Trump's 'I won the election' claim time and again\\n\\nGoes on to prove there won't be a peac\\u2026 https://t.co/FDJC6gIgyG\"","\"2020-11-19 14:45:52.150272\"",2020-11-19T15:42:23.248+05:30,"",Positive
decoding trump won election claim time ngoes prove won peaceful,"\"@itsDoaa_ Decoding Trump's 'I won the election' claim time and again\\n\\nGoes on to prove there won't be a peaceful tr\\u2026 https://t.co/uRACaGkA4M\"","\"2020-11-19 14:45:55.152950\"",2020-11-19T15:42:23.248+05:30,"",Positive
decoding trump won election claim time ngoes prove won peac,"\"@JohnFrancisStok Decoding Trump's 'I won the election' claim time and again\\n\\nGoes on to prove there won't be a peac\\u2026 https://t.co/MgmlqMt1ej\"","\"2020-11-19 14:45:58.156450\"",2020-11-19T15:42:23.248+05:30,"",Positive
decoding trump won election claim time ngoes prove won peace,"\"@franklinfallas Decoding Trump's 'I won the election' claim time and again\\n\\nGoes on to prove there won't be a peace\\u2026 https://t.co/3gKNw7RLoD\"","\"2020-11-19 14:46:01.158724\"",2020-11-19T15:42:23.248+05:30,"",Positive
decoding trump won election claim time ngoes prove won peaceful,"\"@annakaywag Decoding Trump's 'I won the election' claim time and again\\n\\nGoes on to prove there won't be a peaceful\\u2026 https://t.co/019vqRUHJA\"","\"2020-11-19 14:46:04.162551\"",2020-11-19T15:42:23.248+05:30,"",Positive
decoding trump won election claim time ngoes prove won peacef,"\"@JosephSurtees Decoding Trump's 'I won the election' claim time and again\\n\\nGoes on to prove there won't be a peacef\\u2026 https://t.co/2USPj8nTTF\"","\"2020-11-19 14:46:07.166312\"",2020-11-19T15:42:23.248+05:30,"",Positive
decoding trump won election claim time ngoes prove won peaceful,"\"@TwinhavenUK Decoding Trump's 'I won the election' claim time and again\\n\\nGoes on to prove there won't be a peaceful\\u2026 https://t.co/QX8n2ERd7s\"","\"2020-11-19 14:46:10.170082\"",2020-11-19T15:42:23.248+05:30,"",Positive
decoding trump won election claim time ngoes prove won peaceful tran,"\"@prouty Decoding Trump's 'I won the election' claim time and again\\n\\nGoes on to prove there won't be a peaceful tran\\u2026 https://t.co/QxLCsTFYFB\"","\"2020-11-19 14:46:13.173992\"",2020-11-19T15:42:23.248+05:30,"",Positive
decoding trump won election claim time ngoes prove won peaceful,"\"@CTentoni Decoding Trump's 'I won the election' claim time and again\\n\\nGoes on to prove there won't be a peaceful tr\\u2026 https://t.co/4RPNrnWIC9\"","\"2020-11-19 14:46:16.177732\"",2020-11-19T15:42:23.248+05:30,"",Positive
dreamed picked prince charming however really always choose,"\"We all dreamed of been picked up by prince charming. However, the really is always: we'll have to choose between tw\\u2026 https://t.co/VTI0kijLJG\"","\"2020-11-19 14:50:34.746364\"",2020-11-19T15:42:23.248+05:30,"",Positive
trump amp biden political agendas filter systemic hate america making respond,"\"What if Trump &amp; Biden's political agendas is to filter out systemic hate in America, by making the wo rl d respond\\u2026 https://t.co/afI1n0qokK\"","\"2020-11-19 14:50:37.750203\"",2020-11-19T15:42:23.248+05:30,"",Negative
check gig fiverr stencil art capricorn tiktok coronavirus,"\"Check out my Gig on Fiverr: stencil art https://t.co/9dYg70kWNj\\n\\n#Europe #Capricorn #TikTok #coronavirus\\u2026 https://t.co/DuQ1MB9PW3\"","\"2020-11-19 14:50:40.753757\"",2020-11-19T15:42:23.248+05:30,"",Positive
state aid support new industrial policy become remain ubiquitous covid trumpvsbiden,"\"State aid to support this new industrial policy has become and will remain ubiquitous. #Covid_19 #TrumpvsBiden\\u2026 https://t.co/m9MijmSuag\"","\"2020-11-19 14:50:43.757022\"",2020-11-19T15:42:23.248+05:30,"",Positive
voted want follow cliff trump trumpvsbiden evangelicalsfortrump,"\"They voted for him but don't want to follow him over a cliff. #Trump2020 #TrumpvsBiden #EvangelicalsForTrump\\u2026 https://t.co/IGzyHf7U45\"","\"2020-11-19 14:50:46.758647\"",2020-11-19T15:42:23.248+05:30,"",Positive
streaming politics something happen trumpvsbiden,"\"Streaming Politics @ https://t.co/k65CDzf3GH \\\"Something is Happen!!!!\\\" What is what?? #TrumpvsBiden\\u2026 https://t.co/k6c8YlLWKU\"","\"2020-11-19 14:50:49.761811\"",2020-11-19T15:42:23.248+05:30,"",Positive
fact check biden receive fraudulent vote dump votes election day overtake trump wis,"\"FACT-CHECK: Did Biden receive a fraudulent vote \\\"dump\\\" of 143,000 votes after Election Day to overtake Trump in Wis\\u2026 https://t.co/LAqoI8Imat\"","\"2020-11-19 14:50:52.762642\"",2020-11-19T15:42:23.248+05:30,"",Negative
trump illegally lawsuits state recount election france stop trump filing laws,"\"Trump is illegally lawsuits to the State to do recount of the election and France we have to stop trump filing laws\\u2026 https://t.co/4j71NBkhvA\"","\"2020-11-19 14:50:55.765735\"",2020-11-19T15:42:23.248+05:30,"",Negative
prophecy going happen president trump shocking trumpprophecy trumpvsbiden trump,"\"PROPHECY OF WHAT IS GOING TO HAPPEN TO PRESIDENT TRUMP (SHOCKING!!!)\\nhttps://t.co/9qJOjKudNS #trumpprophecy #TrumpvsBiden #Trump2020\"","\"2020-11-19 14:50:58.768997\"",2020-11-19T15:42:23.248+05:30,"",Negative
approaches million votes historic victory stay president,"\"\\u2066@JoeBiden\\u2069 approaches 80 million votes in historic victory -\\u2066@realDonaldTrump\\u2069 can now stay the president at\\u2026 https://t.co/nwEVgmQdFX\"","\"2020-11-19 14:51:01.770680\"",2020-11-19T15:42:23.248+05:30,"",Positive
keep talking george trumpvsbiden,"\"Keep talking to yourself, George.  #TrumpvsBiden https://t.co/ZiwrKKlKhs\"","\"2020-11-19 14:51:04.773846\"",2020-11-19T15:42:23.248+05:30,"",Positive
suburban house wives please love trumpcollapse trumpmeltdown trumpvsbiden trumpcampaign trumplandside,"\"Suburban House Wives Please love me\\n\\n#TrumpCollapse #TrumpMeltdown #TrumpvsBiden #TrumpCampaign #TrumpLandside\\u2026 https://t.co/9XbzJd14VF\"","\"2020-11-19 14:51:07.776214\"",2020-11-19T15:42:23.248+05:30,"",Positive
damilola still staying tune oyo state trumpvsbiden,"\"@SOUNDCITYAbuja Damilola still staying tune from Oyo state\\n#TrumpvsBiden\"","\"2020-11-19 14:51:10.778664\"",2020-11-19T15:42:23.248+05:30,"",Positive
percent americans plan attend thanksgiving gathering people one study finds,"\"About 40 percent of Americans plan to attend a Thanksgiving gathering with 10 or more people, one study finds. Here\\u2026 https://t.co/kPFcf4ZQwc\"","\"2020-11-19 14:51:13.782448\"",2020-11-19T15:42:23.248+05:30,"",Positive
non giuliani trumplawyers admit trump claims election fraud bullshit trumpcollapse trumploser,"\"Non-#Giuliani #Trumplawyers  Admit Trump\\u2019s Claims of Election Fraud Are #Bullshit #TrumpCollapse #trumploser\\u2026 https://t.co/CNuqjj3hNy\"","\"2020-11-19 14:51:16.785811\"",2020-11-19T15:42:23.248+05:30,"",Negative
risk starting shit show editorial illustration class,"\"At the risk of starting a shit show, here's and editorial illustration I did for a class I'm in\\u2026 https://t.co/Tsd7Y7jxvJ\"","\"2020-11-19 14:51:20.654548\"",2020-11-19T15:42:23.248+05:30,"",Negative
stream stop afazenda ufffc followtrick afazenda follotrick trumpvsbiden biden electionday,"\"stream I can\\u2019t stop me\\n#AFazenda12\\u00a0\\ufffc #followtrick #AFazenda #follotrick #TrumpvsBiden #Biden2020 #ElectionDay\\u2026 https://t.co/QoCp3Cx61B\"","\"2020-11-19 14:51:23.658232\"",2020-11-19T15:42:23.248+05:30,"",Negative
stream idea afazenda ufffc followtrick afazenda follotrick trumpvsbiden biden electionday blackpink nct,"\"stream idea\\n#AFazenda12\\u00a0\\ufffc #followtrick #AFazenda #follotrick #TrumpvsBiden #Biden2020 #ElectionDay #BLACKPINK\\n#NCT\\u2026 https://t.co/GPf5Jkp44c\"","\"2020-11-19 14:51:26.662069\"",2020-11-19T15:42:23.248+05:30,"",Positive
going eventually come truth won everyone vote vote trumpvsbiden,"\"It\\u2019s all going to eventually come out! The truth won\\u2019t be for everyone #Vote2020 #vote #TrumpvsBiden\\u2026 https://t.co/UJMurwEJDz\"","\"2020-11-19 14:51:29.664508\"",2020-11-19T15:42:23.248+05:30,"",Positive
hey heard campaign paying partial recount guess biden win onl,"\"Hey @realDonaldTrump I heard your campaign is only paying for a partial recount in WI. I guess the Biden win is onl\\u2026 https://t.co/F643xbwEVM\"","\"2020-11-19 14:51:32.667136\"",2020-11-19T15:42:23.248+05:30,"",Positive
tell read book fucking poor people remember ivanka saying wrote,"\"\\u201c\\u2018Ly, why would you tell me to read a book about fucking poor people?\\u2019 I remember Ivanka saying,\\u201d she wrote. \\u201c\\u2018What\\u2026 https://t.co/uOKDiQzxDI\"","\"2020-11-19 14:51:35.670671\"",2020-11-19T15:42:23.248+05:30,"",Negative
eleicoes biden trump trumpvsbiden,"\"this...\\n\\n@EleicoesEUA @realDonaldTrump @JoeBiden #Eleicoes2020 #Biden2020 #Trump2020 #TrumpvsBiden https://t.co/RLrBnQGFSJ\"","\"2020-11-19 14:51:38.674420\"",2020-11-19T15:42:23.248+05:30,"",Positive
joke nin wisconsin votes injected nummmmmm election wisconsin,"\"Is this a joke!? \\n\\nIn Wisconsin, 143,379 votes INJECTED at 3:42AM\\n\\nUmmmmmm\\n#Election2020 #Wisconsin\\u2026 https://t.co/1y6e8jwobJ\"","\"2020-11-19 14:51:41.678242\"",2020-11-19T15:42:23.248+05:30,"",Positive
cshe trump radar status money power dad instinct throw others bus save,"\"\\u201cShe had the Trump radar for status, money, and power, and her dad\\u2019s instinct to throw others under the bus to save\\u2026 https://t.co/unu3RjNgp0\"","\"2020-11-19 14:51:44.682136\"",2020-11-19T15:42:23.248+05:30,"",Positive
president trump allow biden security briefings hasn conceded yet vote,"\"Should President Trump allow Biden security briefings if he hasn't conceded yet? Vote Now Here:\\u2026 https://t.co/xH6uq5aDI5\"","\"2020-11-19 14:51:47.685523\"",2020-11-19T15:42:23.248+05:30,"",Positive
ivanka trump shared father craving money praise apparent disdain poor people,"\"Ivanka Trump shared her father\\u2019s craving for money and praise \\u2013 and his apparent disdain for poor people \\u2013 from a y\\u2026 https://t.co/OLUA6vAQEt\"","\"2020-11-19 14:51:50.689885\"",2020-11-19T15:42:23.248+05:30,"",Negative
president daughter asked tell read book poor people trump ivankatrump biden usa trumpvsbiden,"\"President\\u2019s daughter asked her \\u2018why would you tell me to read a book about poor people?\\u2019\\n\\n#Trump #IvankaTrump #Biden2020 #USA #TrumpvsBiden\"","\"2020-11-19 14:51:53.692078\"",2020-11-19T15:42:23.248+05:30,"",Negative
worth reading obama gsa administrator denise turner gives view presidential transition nvia,"\"Worth reading : Obama's GSA administrator, Denise Turner, gives her view about the Presidential transition. \\nVia\\u2026 https://t.co/p6HCp3mlym\"","\"2020-11-19 14:51:56.694757\"",2020-11-19T15:42:23.248+05:30,"",Positive
china knows handle pandemic china covid usa trump stockmarket pfizer vaccine,"\"Only China knows to handle this pandemic! #China #COVID19 #usa #Trump2020 #stockmarket #Pfizer #vaccine @JoeBiden\\u2026 https://t.co/i3m7jUnhH3\"","\"2020-11-19 14:51:59.698626\"",2020-11-19T15:42:23.248+05:30,"",Positive
governor cuomo stupid motherfucker refusing distribution vaccine people,"\"Governor Cuomo of NY is a Stupid Motherfucker! He is Refusing Distribution of the CV Vaccine for the People of NY,\\u2026 https://t.co/nlYzfjkCDX\"","\"2020-11-19 14:52:02.701651\"",2020-11-19T15:42:23.248+05:30,"",Negative
ivanka trump obsessed status says former friend tell essay trump ivankatrump biden usa trumpvsbiden,"\"Ivanka Trump obsessed with status, says former friend in tell-all essay\\n\\n#Trump #IvankaTrump #Biden2020 #USA #TrumpvsBiden\"","\"2020-11-19 14:52:07.844105\"",2020-11-19T15:42:23.248+05:30,"",Positive
race whitehouse trumped contest end njoe tryin get job done nthe playing,"\"The race for the #WhiteHouse, \\na trumped contest to the end.\\nJoe's tryin' to get the job done; \\nthe other's playing\\u2026 https://t.co/u87HXxzskK\"","\"2020-11-19 14:52:10.846722\"",2020-11-19T15:42:23.248+05:30,"",Positive
biden harris ruin america election results biden stopthesteai trumpvsbiden bidencrimefamilly,"\"BIDEN AND HARRIS WILL RUIN AMERICA\\nhttps://t.co/yAsZumROfa #Election2020results #Biden2020  #StopTheSteaI #TrumpvsBiden #BidenCrimeFamilly\"","\"2020-11-19 14:52:13.850360\"",2020-11-19T15:42:23.248+05:30,"",Negative
put trump supporter camera usually hang pretty fast trumpmeltdown,"\"If you put a #trump supporter on camera, they'll usually hang themselves on their own pretty fast #TrumpMeltdown\\u2026 https://t.co/wtnfyA1FNs\"","\"2020-11-19 14:52:16.851267\"",2020-11-19T15:42:23.248+05:30,"",Positive
msm chero bird saves fish drowning ude nhorrible beautiful udd trumpvsbiden allegory slowmo,"\"MSM: \\u201cHero Bird Saves Fish From Drowning\\u201d \\ud83d\\ude31\\n\\nHorrible... but beautiful? \\ud83e\\udd14\\n\\nOr a #TrumpVsBiden allegory?\\n\\n#slowmo\\u2026 https://t.co/ughi8i0Gyk\"","\"2020-11-19 14:52:19.854661\"",2020-11-19T15:42:23.248+05:30,"",Positive
want people happy nfull video say trump,"\"\\\"I just want people to be happy!\\\" @nasirsvision\\nFull Video:https://t.co/1FKIjkIPXg What would you say to a Trump su\\u2026 https://t.co/fBojQNwUHV\"","\"2020-11-19 14:52:22.856741\"",2020-11-19T15:42:23.248+05:30,"",Positive
presidential election vote candidate party loyalty individual,"\"During the 2020 Presidential election, did you vote for the candidate by party loyalty or for the individual?\\u2026 https://t.co/6qmC3wGP51\"","\"2020-11-19 14:52:25.858644\"",2020-11-19T15:42:23.248+05:30,"",Positive
strange relationship infowars alex jones donald trump roger stone,"\"The Strange Relationship of Infowars' Alex Jones, Donald Trump and Roger Stone.....\\n\\nhttps://t.co/KvmctqVBdA\\n\\n#TrumpvsBiden\"","\"2020-11-19 14:52:28.861981\"",2020-11-19T15:42:23.248+05:30,"",Negative
saying look new votes see stop vote count,"\"@RyanAFournier Oh so now you\\u2019re saying it\\u2019s OK to look for new votes. I see, before it was stop the vote count now\\u2026 https://t.co/gqfcjLIgdV\"","\"2020-11-19 14:52:31.865074\"",2020-11-19T15:42:23.248+05:30,"",Negative
came ude uselections trumpterroism trump trumpvsbiden joebiden,"\"And then came @JoeBiden\\ud83d\\ude02\\n\\n#USElections2020 #TrumpTerroism #Trump #TrumpvsBiden #JoeBiden https://t.co/ezAwGgbsAC\"","\"2020-11-19 14:52:34.868246\"",2020-11-19T15:42:23.248+05:30,"",Positive
hack election nread trumpvsbiden recount bidenpresident bidentrump widespread joebiden,"\"How to Hack an Election\\nREAD THIS!\\n#TrumpvsBiden #Recount #BidenPresident #BidenTrump #Widespread #JoeBiden  https://t.co/ChQOUcCf93\"","\"2020-11-19 14:52:37.870756\"",2020-11-19T15:42:23.248+05:30,"",Positive
embroidery files twitrump won election nfichiers broderie ndownload,"\"Embroidery files of Twitrump \\\"I won the election!\\\" \\nFichiers de broderie\\nDownload here : https://t.co/ijHvdsSqwH\\u2026 https://t.co/Tm3hMKomP8\"","\"2020-11-19 14:52:40.872450\"",2020-11-19T15:42:23.248+05:30,"",Positive
play best relaxation musique trumpmeltdown teamg,"\"38:Play with the best Now=Relaxation Musique...https://t.co/yqhzI6gZHx\\n#TrumpvsBiden \\n#TrumpMeltdown \\n#TEAMG1 https://t.co/yr5Lm9kijJ\"","\"2020-11-19 14:52:43.874631\"",2020-11-19T15:42:23.248+05:30,"",Positive
lol joebiden savage usaelections trumpvsbiden,"\"LOL Mr #JoeBiden is savage! #USAElections2020 #TrumpvsBiden https://t.co/5B6UGVrHY7\"","\"2020-11-19 14:52:46.877949\"",2020-11-19T15:42:23.248+05:30,"",Negative
check gig fiverr stencil art capricorn tiktok coronavirus,"\"Check out my Gig on Fiverr: stencil art https://t.co/9dYg70kWNj\\n\\n#Europe #Capricorn #TikTok #coronavirus\\u2026 https://t.co/cJBu3z6tKE\"","\"2020-11-19 14:52:49.882007\"",2020-11-19T15:42:23.248+05:30,"",Positive
guess moved canada udde udde donaldtrump trump trumpvsbiden cdnpoli,"\"I guess he moved to Canada \\ud83c\\udde8\\ud83c\\udde6 #DonaldTrump #Trump2020 #TrumpvsBiden #cdnpoli https://t.co/HWFR8HQ1Xz https://t.co/923QGJKrnr\"","\"2020-11-19 14:52:55.838186\"",2020-11-19T15:42:23.248+05:30,"",Positive
donny advocating electoral reform udd ndid americans vote hillary clinton joe,"\"@realDonaldTrump Is Donny advocating electoral reform? \\ud83e\\udd14\\n\\nDid more Americans vote for Hillary Clinton and for Joe B\\u2026 https://t.co/Dgzl9H4YG7\"","\"2020-11-19 14:52:58.842066\"",2020-11-19T15:42:23.248+05:30,"",Positive
michigan state officials feared fraud scandal rushed ratify election results prematurely,"\"#Michigan state officials feared the #fraud scandal and rushed to ratify the #election #results prematurely, but th\\u2026 https://t.co/8yjpFMfck0\"","\"2020-11-19 14:53:01.845283\"",2020-11-19T15:42:23.248+05:30,"",Negative
many retweet video deserves answer end trump trump trumpmeltdown trumpislosing,"\"How many retweet this video deserves? The answer is at the end...\\n\\n#Trump #Trump2020 #TrumpMeltdown #TrumpIsLosing\\u2026 https://t.co/qCEZBDz9tO\"","\"2020-11-19 14:53:04.846756\"",2020-11-19T15:42:23.248+05:30,"",Positive
recounts thats sesamestreet reference trumpvsbiden presidentialelection politicalnews,"\"More #recounts ... thats not a #sesamestreet reference ... #TrumpvsBiden #PresidentialElection2020 #PoliticalNews\\u2026 https://t.co/HRTh6B3UwJ\"","\"2020-11-19 14:53:07.849012\"",2020-11-19T15:42:23.248+05:30,"",Positive
trumpvsbiden pfizer chief scientist says cthese tests completely useless test fatally flawed,"\"#TrumpVsBiden Ex-Pfizer Chief Scientist says: \\u201cThese tests are completely useless. This test is fatally flawed \\u2026  a\\u2026 https://t.co/iRsZ9UlSLS\"","\"2020-11-19 14:53:10.850725\"",2020-11-19T15:42:23.248+05:30,"",Negative
new video trumpvsbiden,"\"New video is out\\nhttps://t.co/oS9UjSYmg5\\n#USElection2020 \\n#TrumpvsBiden https://t.co/pVl1NyZcAZ\"","\"2020-11-19 14:53:13.853242\"",2020-11-19T15:42:23.248+05:30,"",Positive
uddfa uddf urgent usa biden campaign manager arrested electoral fraud bidenpresident usaelections,"\"\\ud83c\\uddfa\\ud83c\\uddf8#Urgent l USA Biden's campaign manager arrested for electoral fraud.\\n\\n#BidenPresident #USAElections2020\\u2026 https://t.co/5qvQY6RKxc\"","\"2020-11-19 14:53:16.854703\"",2020-11-19T15:42:23.248+05:30,"",Negative
trumpvsbiden looks authentic fits data gohmert electoral map shows trump,"\"#TrumpVsBiden This looks authentic and fits the data: https://t.co/8E6zZZ8TyA Gohmert's electoral map shows Trump a\\u2026 https://t.co/d7YnreRJux\"","\"2020-11-19 14:53:19.858456\"",2020-11-19T15:42:23.248+05:30,"",Positive
trumpvsbiden portuguese appeals court ruled pcr tests unreliable unlawful quarant,"\"#TrumpVsBiden A Portuguese appeals court has ruled that PCR tests are unreliable and that it is unlawful to quarant\\u2026 https://t.co/D6tfKk7o2l\"","\"2020-11-19 14:53:22.862147\"",2020-11-19T15:42:23.248+05:30,"",Positive
trumpvsbiden surprise surprise mouthwash kill covid seconds kinda make wonder anthony ton,"\"#TrumpVsBiden Surprise! Surprise! Mouthwash can kill Covid-19 in 30 seconds. Kinda make you wonder why Anthony \\\"Ton\\u2026 https://t.co/x835fWP8dK\"","\"2020-11-19 14:53:25.862984\"",2020-11-19T15:42:23.248+05:30,"",Negative
uddfa uddf donaldtrump last attempt stay whitehouse ude udd ude udd uselection uselections,"\"\\ud83c\\uddfa\\ud83c\\uddf8#US: #DonaldTrump's last attempt to stay in the #WhiteHouse... \\ud83d\\ude02\\ud83e\\udd23\\ud83d\\ude02\\ud83e\\udd23\\n#USElection2020 #USElections2020\\u2026 https://t.co/3Hyg1V8lOi\"","\"2020-11-19 14:53:28.866727\"",2020-11-19T15:42:23.248+05:30,"",Positive
true greatness shows defeat trumpout trumpvsbiden,"\"true greatness shows in defeat! #TrumpOut #TrumpvsBiden\"","\"2020-11-19 14:53:31.869771\"",2020-11-19T15:42:23.248+05:30,"",Negative
upfront money trumpvsbidenfight upfrontmoney trumpcollapse trumpisbroke trumpmeltdown,"\"I have no upfront money. #TrumpVsBidenFight #upfrontmoney #TrumpCollapse #trumpisbroke #TrumpMeltdown\\u2026 https://t.co/cfjrJXSc9P\"","\"2020-11-19 14:53:34.870738\"",2020-11-19T15:42:23.248+05:30,"",Positive
sure fraud issue extremely similar one trumpvsbiden elections,"\"Sure it's not a fraud issue but it is extremely similar to one\\n#TrumpvsBiden #Elections2020 https://t.co/E02eudcVPx https://t.co/4VpUruutix\"","\"2020-11-19 14:53:37.873611\"",2020-11-19T15:42:23.248+05:30,"",Negative
republicans proudly parading flat earth bona fides trumpvsbiden,"\"Republicans proudly parading their Flat Earth bona fides. #TrumpvsBiden https://t.co/y3wbfmlQaW\"","\"2020-11-19 14:53:42.861459\"",2020-11-19T15:42:23.248+05:30,"",Positive
half republicans say biden won rigged election riggedelection trumpvsbiden,"\"Over half of all Republicans say Biden won because of a 'rigged' election #RiggedElection #TrumpVsBiden -\\u2026 https://t.co/rXjBo8kBbd\"","\"2020-11-19 14:53:45.864437\"",2020-11-19T15:42:23.248+05:30,"",Positive
true trumpvsbiden,"\"Not true! #TrumpvsBiden https://t.co/oDWaYMXDEi\"","\"2020-11-19 14:53:48.866702\"",2020-11-19T15:42:23.248+05:30,"",Positive
trumpvsbiden door looking leave nothing joe scorched earth policy trump maybe legacy,"\"#TrumpvsBiden he is out the door but  will be looking to leave nothing for Joe. scorched earth policy by trump,maybe his legacy........\"","\"2020-11-19 14:53:51.870393\"",2020-11-19T15:42:23.248+05:30,"",Negative
stuff nightmares trumpvsbiden,"\"The stuff of nightmares...\\n#TrumpvsBiden\\n\\nhttps://t.co/Ioh1a0bCXd\"","\"2020-11-19 14:53:54.874122\"",2020-11-19T15:42:23.248+05:30,"",Positive
